Timeout (s),Completion Time (s),Throughput (bytes/s),Retransmissions,ACK Efficiency (%),Retransmission Overhead (%)
0.01,47.601276874542236,8518.76308000613,28738,11.799761620977355,29028.28282828283
0.05,42.84059143066406,9465.415543020536,6282,13.943661971830986,6345.454545454545
0.1,35.18998718261719,11523.277854454775,2690,17.1280276816609,2717.1717171717173
0.2,19.401821613311768,20900.305552844584,398,34.13793103448276,402.02020202020196
0.5,23.14315128326416,17521.55508283083,233,36.39705882352941,235.35353535353534
