Window Size,Completion Time (s),Throughput (bytes/s),Retransmissions,ACK Efficiency (%),Retransmission Overhead (%)
1,18.97791361808777,21367.15384843547,266,35.74007220216607,268.6868686868687
2,47.63035869598389,8513.561751408592,1476,11.913357400722022,1490.9090909090908
5,40.01544380187988,10133.687433474119,3025,14.142857142857142,3055.5555555555557
10,41.21527576446533,9838.68219922513,6032,14.002828854314004,6092.929292929292
20,42.76047205924988,9483.15068734799,11823,13.884992987377279,11942.424242424242
50,44.45680046081543,9121.304182864314,25907,13.0779392338177,26168.68686868687
100,37.85857439041138,10711.021387606817,26861,15.325077399380804,27132.323232323233
